best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,283.5,525,941,0.447213595500,1,4,0,0,False,mtemp->realloc_fcn = realloc;
42,283.5,525,942,0.447213595500,1,4,0,0,False,mtemp->free_fcn = free;
42,283.5,525,946,0.447213595500,1,4,0,0,False,if (!parser)
42,283.5,525,949,0.447213595500,1,4,0,0,False,parser->m_buffer = NULL;
42,283.5,525,950,0.447213595500,1,4,0,0,False,parser->m_bufferLim = NULL;
42,283.5,525,952,0.447213595500,1,4,0,0,False,parser->m_attsSize = INIT_ATTS_SIZE;
42,283.5,525,953,0.447213595500,1,4,0,0,False,"parser->m_atts = (ATTRIBUTE *)MALLOC(parser, parser->m_attsSize * sizeof(ATTRIBUTE));"
42,283.5,525,954,0.447213595500,1,4,0,0,False,if (parser->m_atts == NULL) {
42,283.5,525,966,0.447213595500,1,4,0,0,False,"parser->m_dataBuf = (XML_Char *)MALLOC(parser, INIT_DATA_BUF_SIZE * sizeof(XML_Char));"
42,283.5,525,967,0.447213595500,1,4,0,0,False,if (parser->m_dataBuf == NULL) {
42,283.5,525,975,0.447213595500,1,4,0,0,False,parser->m_dataBufEnd = parser->m_dataBuf + INIT_DATA_BUF_SIZE;
42,283.5,525,977,0.447213595500,1,4,0,0,False,if (dtd)
42,283.5,525,980,0.447213595500,1,4,0,0,False,parser->m_dtd = dtdCreate(&parser->m_mem);
42,283.5,525,981,0.447213595500,1,4,0,0,False,if (parser->m_dtd == NULL) {
42,283.5,525,992,0.447213595500,1,4,0,0,False,parser->m_freeBindingList = NULL;
42,283.5,525,993,0.447213595500,1,4,0,0,False,parser->m_freeTagList = NULL;
42,283.5,525,994,0.447213595500,1,4,0,0,False,parser->m_freeInternalEntities = NULL;
42,283.5,525,996,0.447213595500,1,4,0,0,False,parser->m_groupSize = 0;
42,283.5,525,997,0.447213595500,1,4,0,0,False,parser->m_groupConnector = NULL;
42,283.5,525,999,0.447213595500,1,4,0,0,False,parser->m_unknownEncodingHandler = NULL;
42,283.5,525,1000,0.447213595500,1,4,0,0,False,parser->m_unknownEncodingHandlerData = NULL;
42,283.5,525,1002,0.447213595500,1,4,0,0,False,parser->m_namespaceSeparator = ASCII_EXCL;
