best_rank,average_rank,worst_rank,line,score,ef,ep,nf,np,faulty,source
42,303.5,565,967,0.852802865422,16,6,0,0,False,if (parser->m_dataBuf == NULL) {
42,303.5,565,975,0.852802865422,16,6,0,0,False,parser->m_dataBufEnd = parser->m_dataBuf + INIT_DATA_BUF_SIZE;
42,303.5,565,977,0.852802865422,16,6,0,0,False,if (dtd)
42,303.5,565,980,0.852802865422,16,6,0,0,False,parser->m_dtd = dtdCreate(&parser->m_mem);
42,303.5,565,981,0.852802865422,16,6,0,0,False,if (parser->m_dtd == NULL) {
42,303.5,565,992,0.852802865422,16,6,0,0,False,parser->m_freeBindingList = NULL;
42,303.5,565,993,0.852802865422,16,6,0,0,False,parser->m_freeTagList = NULL;
42,303.5,565,994,0.852802865422,16,6,0,0,False,parser->m_freeInternalEntities = NULL;
42,303.5,565,996,0.852802865422,16,6,0,0,False,parser->m_groupSize = 0;
42,303.5,565,997,0.852802865422,16,6,0,0,False,parser->m_groupConnector = NULL;
42,303.5,565,999,0.852802865422,16,6,0,0,False,parser->m_unknownEncodingHandler = NULL;
42,303.5,565,1000,0.852802865422,16,6,0,0,False,parser->m_unknownEncodingHandlerData = NULL;
42,303.5,565,1002,0.852802865422,16,6,0,0,False,parser->m_namespaceSeparator = ASCII_EXCL;
42,303.5,565,1003,0.852802865422,16,6,0,0,False,parser->m_ns = XML_FALSE;
42,303.5,565,1004,0.852802865422,16,6,0,0,False,parser->m_ns_triplets = XML_FALSE;
42,303.5,565,1006,0.852802865422,16,6,0,0,False,parser->m_nsAtts = NULL;
42,303.5,565,1007,0.852802865422,16,6,0,0,False,parser->m_nsAttsVersion = 0;
42,303.5,565,1008,0.852802865422,16,6,0,0,False,parser->m_nsAttsPower = 0;
42,303.5,565,1010,0.852802865422,16,6,0,0,False,parser->m_protocolEncodingName = NULL;
42,303.5,565,1012,0.852802865422,16,6,0,0,False,"poolInit(&parser->m_tempPool, &(parser->m_mem));"
42,303.5,565,1013,0.852802865422,16,6,0,0,False,"poolInit(&parser->m_temp2Pool, &(parser->m_mem));"
42,303.5,565,1014,0.852802865422,16,6,0,0,False,"parserInit(parser, encodingName);"
42,303.5,565,1016,0.852802865422,16,6,0,0,False,if (encodingName && !parser->m_protocolEncodingName) {
42,303.5,565,1021,0.852802865422,16,6,0,0,False,if (nameSep) {
42,303.5,565,1027,0.852802865422,16,6,0,0,False,parser->m_internalEncoding = XmlGetInternalEncoding();
42,303.5,565,1030,0.852802865422,16,6,0,0,False,return parser;
42,303.5,565,1034,0.852802865422,16,6,0,0,False,"parserInit(XML_Parser parser, const XML_Char *encodingName)"
42,303.5,565,1036,0.852802865422,16,6,0,0,False,parser->m_processor = prologInitProcessor;
42,303.5,565,1037,0.852802865422,16,6,0,0,False,XmlPrologStateInit(&parser->m_prologState);
42,303.5,565,1038,0.852802865422,16,6,0,0,False,if (encodingName != NULL) {
42,303.5,565,1041,0.852802865422,16,6,0,0,False,parser->m_curBase = NULL;
42,303.5,565,1042,0.852802865422,16,6,0,0,False,"XmlInitEncoding(&parser->m_initEncoding, &parser->m_encoding, 0);"
42,303.5,565,1043,0.852802865422,16,6,0,0,False,parser->m_userData = NULL;
42,303.5,565,1044,0.852802865422,16,6,0,0,False,parser->m_handlerArg = NULL;
42,303.5,565,1045,0.852802865422,16,6,0,0,False,parser->m_startElementHandler = NULL;
42,303.5,565,1046,0.852802865422,16,6,0,0,False,parser->m_endElementHandler = NULL;
42,303.5,565,1047,0.852802865422,16,6,0,0,False,parser->m_characterDataHandler = NULL;
42,303.5,565,1048,0.852802865422,16,6,0,0,False,parser->m_processingInstructionHandler = NULL;
