subject,mode,repetition,metric,fault_line,baseline_average_rank,current_average_rank,rank_improvement,rank_improvement_fraction,baseline_tie_size,competitor_count,actual_below,actual_equal,actual_above,actual_below_fraction,actual_above_fraction,generated_usable_tests,new_profiles,new_PASS_profiles,new_FAIL_profiles,new_profile_items,new_profile_discriminating_items,new_profile_helpful_items,new_profile_harmful_items,new_profile_mixed_direction_items,new_profile_helpful_pairs,new_profile_harmful_pairs,new_profile_net_pairs,new_profile_helpful_PASS_pairs,new_profile_helpful_FAIL_pairs,new_profile_harmful_PASS_pairs,new_profile_harmful_FAIL_pairs,new_profile_discriminating_density,new_profile_helpful_density,new_profile_harmful_density,new_profile_net_density,new_profile_helpful_PASS_share,new_profile_helpful_FAIL_share,new_profile_competitors_with_helpful,new_profile_competitors_with_harmful,new_profile_competitors_net_helpful,new_profile_competitors_net_harmful,new_profile_competitors_net_zero,new_profile_competitors_net_helpful_fraction,new_profile_competitors_net_harmful_fraction,test_items,test_discriminating_items,test_helpful_items,test_harmful_items,test_mixed_direction_items,test_helpful_pairs,test_harmful_pairs,test_net_pairs,test_helpful_PASS_pairs,test_helpful_FAIL_pairs,test_harmful_PASS_pairs,test_harmful_FAIL_pairs,test_discriminating_density,test_helpful_density,test_harmful_density,test_net_density,test_helpful_PASS_share,test_helpful_FAIL_share,test_competitors_with_helpful,test_competitors_with_harmful,test_competitors_net_helpful,test_competitors_net_harmful,test_competitors_net_zero,test_competitors_net_helpful_fraction,test_competitors_net_harmful_fraction
expat_resume,aflsmart-mixed,1,jaccard,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,23,11,7,4,11,8,2,6,0,12,110,-98,0,12,110,0,0.02120632713366939,0.0020858682426560054,0.019120458891013385,-0.01703459064835738,0.0,1.0,12,42,0,42,481,0.0,0.08030592734225621,23,16,3,13,0,16,292,-276,0,16,292,0,0.02560478842796575,0.0013301188793748441,0.024274669548590904,-0.022944550669216062,0.0,1.0,12,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,1,ochiai,2912,303.5,326.5,-23.0,-0.0757825370675453,524,523,4,481,38,0.0076481835564053535,0.07265774378585087,23,11,7,4,11,8,2,6,0,12,110,-98,0,12,110,0,0.02120632713366939,0.0020858682426560054,0.019120458891013385,-0.01703459064835738,0.0,1.0,12,42,0,42,481,0.0,0.08030592734225621,23,16,3,13,0,16,292,-276,0,16,292,0,0.02560478842796575,0.0013301188793748441,0.024274669548590904,-0.022944550669216062,0.0,1.0,12,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,2,jaccard,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,33,13,9,4,13,7,0,7,0,0,122,-122,0,0,122,0,0.017943815266951022,0.0,0.017943815266951022,-0.017943815266951022,0.0,0.0,0,42,0,42,481,0.0,0.08030592734225621,33,8,0,8,0,0,136,-136,0,0,136,0,0.007879946694478243,0.0,0.007879946694478243,-0.007879946694478243,0.0,0.0,0,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,2,ochiai,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,33,13,9,4,13,7,0,7,0,0,122,-122,0,0,122,0,0.017943815266951022,0.0,0.017943815266951022,-0.017943815266951022,0.0,0.0,0,42,0,42,481,0.0,0.08030592734225621,33,8,0,8,0,0,136,-136,0,0,136,0,0.007879946694478243,0.0,0.007879946694478243,-0.007879946694478243,0.0,0.0,0,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,3,jaccard,2912,303.5,338.5,-35.0,-0.11532125205930807,524,523,0,481,42,0.0,0.08030592734225621,28,13,10,3,13,9,3,6,0,40,168,-128,0,40,168,0,0.030592734225621414,0.005883218120311811,0.024709516105309606,-0.018826297984997794,0.0,1.0,36,42,0,42,481,0.0,0.08030592734225621,28,13,3,10,0,40,336,-296,0,40,336,0,0.025676044796503688,0.0027314941272876263,0.022944550669216062,-0.020213056541928436,0.0,1.0,36,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,3,ochiai,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,28,13,10,3,13,9,3,6,0,40,168,-128,0,40,168,0,0.030592734225621414,0.005883218120311811,0.024709516105309606,-0.018826297984997794,0.0,1.0,36,42,0,42,481,0.0,0.08030592734225621,28,13,3,10,0,40,336,-296,0,40,336,0,0.025676044796503688,0.0027314941272876263,0.022944550669216062,-0.020213056541928436,0.0,1.0,36,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,4,jaccard,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,22,11,7,4,11,6,2,4,0,32,134,-102,0,32,134,0,0.028854510690074744,0.0055623153137493485,0.023292195376325396,-0.01772988006257605,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621,22,7,2,5,0,32,176,-144,0,32,176,0,0.018077524769685382,0.0027811576568746743,0.015296367112810707,-0.012515209455936033,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,4,ochiai,2912,303.5,326.5,-23.0,-0.0757825370675453,524,523,4,481,38,0.0076481835564053535,0.07265774378585087,22,11,7,4,11,6,2,4,0,32,134,-102,0,32,134,0,0.028854510690074744,0.0055623153137493485,0.023292195376325396,-0.01772988006257605,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621,22,7,2,5,0,32,176,-144,0,32,176,0,0.018077524769685382,0.0027811576568746743,0.015296367112810707,-0.012515209455936033,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,5,jaccard,2912,303.5,330.5,-27.0,-0.08896210873146623,524,523,0,481,42,0.0,0.08030592734225621,31,7,5,2,7,3,1,2,0,28,56,-28,0,28,56,0,0.022944550669216062,0.0076481835564053535,0.015296367112810707,-0.0076481835564053535,0.0,1.0,28,42,0,14,509,0.0,0.02676864244741874,31,5,1,4,0,28,112,-84,0,28,112,0,0.008635045950780238,0.0017270091901560476,0.006908036760624191,-0.005181027570468143,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621
expat_resume,aflsmart-mixed,5,ochiai,2912,303.5,302.5,1.0,0.0032948929159802307,524,523,28,481,14,0.05353728489483748,0.02676864244741874,31,7,5,2,7,3,1,2,0,28,56,-28,0,28,56,0,0.022944550669216062,0.0076481835564053535,0.015296367112810707,-0.0076481835564053535,0.0,1.0,28,42,0,14,509,0.0,0.02676864244741874,31,5,1,4,0,28,112,-84,0,28,112,0,0.008635045950780238,0.0017270091901560476,0.006908036760624191,-0.005181027570468143,0.0,1.0,28,42,0,42,481,0.0,0.08030592734225621
