subject,mode,metric,n,rank_improvement_mean,rank_improvement_median,rank_improvement_fraction_mean,rank_improvement_fraction_median,actual_below_fraction_mean,actual_below_fraction_median,actual_above_fraction_mean,actual_above_fraction_median,new_profile_discriminating_density_mean,new_profile_discriminating_density_median,new_profile_helpful_density_mean,new_profile_helpful_density_median,new_profile_harmful_density_mean,new_profile_harmful_density_median,new_profile_net_density_mean,new_profile_net_density_median,new_profile_helpful_PASS_share_mean,new_profile_helpful_PASS_share_median,new_profile_helpful_FAIL_share_mean,new_profile_helpful_FAIL_share_median,test_discriminating_density_mean,test_discriminating_density_median,test_helpful_density_mean,test_helpful_density_median,test_harmful_density_mean,test_harmful_density_median,test_net_density_mean,test_net_density_median,test_helpful_PASS_share_mean,test_helpful_PASS_share_median,test_helpful_FAIL_share_mean,test_helpful_FAIL_share_median,test_competitors_net_helpful_fraction_mean,test_competitors_net_helpful_fraction_median,test_competitors_net_harmful_fraction_mean,test_competitors_net_harmful_fraction_median
expat_resume,afl,jaccard,5,-24.2,-27.0,-0.07973640856672158,-0.08896210873146623,0.008413001912045888,0.0,0.07189292543021032,0.08030592734225621,0.0260038240917782,0.02676864244741874,0.004767040904708209,0.0016995963458678563,0.021236783187069994,0.02198852772466539,-0.016469742282361786,-0.015721266199277672,0.0,0.0,0.6,1.0,0.016635616348809466,0.01359677076694285,0.0035593469627886454,0.0019120458891013384,0.013076269386020821,0.01338432122370937,-0.009516922423232176,-0.00621414913957935,0.0,0.0,0.6,1.0,0.006883365200764819,0.0,0.07189292543021032,0.08030592734225621
expat_resume,afl,ochiai,5,-18.6,-23.0,-0.06128500823723229,-0.0757825370675453,0.019120458891013385,0.0076481835564053535,0.06118546845124283,0.07265774378585087,0.0260038240917782,0.02676864244741874,0.004767040904708209,0.0016995963458678563,0.021236783187069994,0.02198852772466539,-0.016469742282361786,-0.015721266199277672,0.0,0.0,0.6,1.0,0.016635616348809466,0.01359677076694285,0.0035593469627886454,0.0019120458891013384,0.013076269386020821,0.01338432122370937,-0.009516922423232176,-0.00621414913957935,0.0,0.0,0.6,1.0,0.006883365200764819,0.0,0.07189292543021032,0.08030592734225621
expat_resume,aflsmart-mixed,jaccard,5,-28.6,-27.0,-0.0942339373970346,-0.08896210873146623,0.0,0.0,0.08030592734225621,0.08030592734225621,0.024308387597106525,0.022944550669216062,0.004235917046624503,0.0055623153137493485,0.020072470550482023,0.019120458891013385,-0.01583655350385752,-0.01772988006257605,0.0,0.0,0.8,1.0,0.01717467012788266,0.018077524769685382,0.0017139559707386384,0.0017270091901560476,0.01546071415714402,0.015296367112810707,-0.013746758186405384,-0.012515209455936033,0.0,0.0,0.8,1.0,0.0,0.0,0.08030592734225621,0.08030592734225621
expat_resume,aflsmart-mixed,ochiai,5,-19.8,-23.0,-0.06523887973640857,-0.0757825370675453,0.013766730401529637,0.0076481835564053535,0.06653919694072657,0.07265774378585087,0.024308387597106525,0.022944550669216062,0.004235917046624503,0.0055623153137493485,0.020072470550482023,0.019120458891013385,-0.01583655350385752,-0.01772988006257605,0.0,0.0,0.8,1.0,0.01717467012788266,0.018077524769685382,0.0017139559707386384,0.0017270091901560476,0.01546071415714402,0.015296367112810707,-0.013746758186405384,-0.012515209455936033,0.0,0.0,0.8,1.0,0.0,0.0,0.08030592734225621,0.08030592734225621
expat_resume,aflsmart-nonstack,jaccard,5,-7.8,-13.0,-0.025700164744645797,-0.042833607907743,0.03441682600382409,0.02676864244741874,0.045889101338432124,0.05353728489483748,0.03387066725498848,0.03416188655194392,0.01450507427562877,0.014119723488748345,0.01936559297935971,0.019120458891013385,-0.004860518703730941,-0.006118546845124283,0.0,0.0,1.0,1.0,0.030978588069039952,0.032504780114722756,0.012751178156389287,0.012461264587591482,0.018227409912650667,0.01725287918537952,-0.00547623175626138,-0.0038900243950682404,0.0,0.0,1.0,1.0,0.016826003824091777,0.015296367112810707,0.05430210325047801,0.06500956022944551
expat_resume,aflsmart-nonstack,ochiai,5,2.6,1.0,0.008566721581548599,0.0032948929159802307,0.05430210325047801,0.05353728489483748,0.0260038240917782,0.02676864244741874,0.03387066725498848,0.03416188655194392,0.01450507427562877,0.014119723488748345,0.01936559297935971,0.019120458891013385,-0.004860518703730941,-0.006118546845124283,0.0,0.0,1.0,1.0,0.030978588069039952,0.032504780114722756,0.012751178156389287,0.012461264587591482,0.018227409912650667,0.01725287918537952,-0.00547623175626138,-0.0038900243950682404,0.0,0.0,1.0,1.0,0.016826003824091777,0.015296367112810707,0.05430210325047801,0.06500956022944551
libyaml_flow,afl,jaccard,5,4.5,5.5,0.5,0.6111111111111112,0.5625,0.6875,0.0,0.0,0.03791752826027019,0.013221153846153846,0.03791752826027019,0.013221153846153846,0.0,0.0,0.03791752826027019,0.013221153846153846,0.8,1.0,0.0,0.0,0.006644571075099802,0.0020161290322580645,0.006644571075099802,0.0020161290322580645,0.0,0.0,0.006644571075099802,0.0020161290322580645,0.8,1.0,0.0,0.0,0.5625,0.6875,0.0,0.0
libyaml_flow,afl,ochiai,5,4.5,5.5,0.5,0.6111111111111112,0.5625,0.6875,0.0,0.0,0.03791752826027019,0.013221153846153846,0.03791752826027019,0.013221153846153846,0.0,0.0,0.03791752826027019,0.013221153846153846,0.8,1.0,0.0,0.0,0.006644571075099802,0.0020161290322580645,0.006644571075099802,0.0020161290322580645,0.0,0.0,0.006644571075099802,0.0020161290322580645,0.8,1.0,0.0,0.0,0.5625,0.6875,0.0,0.0
libyaml_flow,aflsmart-mixed,jaccard,5,3.5,5.5,0.3888888888888889,0.6111111111111112,0.4375,0.6875,0.0,0.0,0.019755807983570788,0.01403061224489796,0.019755807983570788,0.01403061224489796,0.0,0.0,0.019755807983570788,0.01403061224489796,0.6,1.0,0.0,0.0,0.003014784557113882,0.002141744548286604,0.003014784557113882,0.002141744548286604,0.0,0.0,0.003014784557113882,0.002141744548286604,0.6,1.0,0.0,0.0,0.4375,0.6875,0.0,0.0
libyaml_flow,aflsmart-mixed,ochiai,5,3.5,5.5,0.3888888888888889,0.6111111111111112,0.4375,0.6875,0.0,0.0,0.019755807983570788,0.01403061224489796,0.019755807983570788,0.01403061224489796,0.0,0.0,0.019755807983570788,0.01403061224489796,0.6,1.0,0.0,0.0,0.003014784557113882,0.002141744548286604,0.003014784557113882,0.002141744548286604,0.0,0.0,0.003014784557113882,0.002141744548286604,0.6,1.0,0.0,0.0,0.4375,0.6875,0.0,0.0
