mode,metric,subjects,rank_improvement_fraction_equal_subject_mean,actual_below_fraction_equal_subject_mean,actual_above_fraction_equal_subject_mean,new_profile_helpful_density_equal_subject_mean,new_profile_harmful_density_equal_subject_mean,new_profile_net_density_equal_subject_mean,new_profile_helpful_PASS_share_equal_subject_mean,new_profile_helpful_FAIL_share_equal_subject_mean,test_helpful_density_equal_subject_mean,test_harmful_density_equal_subject_mean,test_net_density_equal_subject_mean,test_helpful_PASS_share_equal_subject_mean,test_helpful_FAIL_share_equal_subject_mean,test_competitors_net_helpful_fraction_equal_subject_mean,test_competitors_net_harmful_fraction_equal_subject_mean
afl,jaccard,2,0.2101317957166392,0.28545650095602293,0.03594646271510516,0.021342284582489202,0.010618391593534997,0.010723892988954204,0.4,0.3,0.005101959018944224,0.0065381346930104105,-0.0014361756740661866,0.4,0.3,0.2846916826003824,0.03594646271510516
afl,ochiai,2,0.21935749588138387,0.2908102294455067,0.030592734225621414,0.021342284582489202,0.010618391593534997,0.010723892988954204,0.4,0.3,0.005101959018944224,0.0065381346930104105,-0.0014361756740661866,0.4,0.3,0.2846916826003824,0.03594646271510516
aflsmart-mixed,jaccard,2,0.14732747574592714,0.21875,0.040152963671128104,0.011995862515097645,0.010036235275241012,0.001959627239856633,0.3,0.4,0.0023643702639262604,0.00773035707857201,-0.005365986814645751,0.3,0.4,0.21875,0.040152963671128104
aflsmart-mixed,ochiai,2,0.16182500457624016,0.22563336520076482,0.03326959847036329,0.011995862515097645,0.010036235275241012,0.001959627239856633,0.3,0.4,0.0023643702639262604,0.00773035707857201,-0.005365986814645751,0.3,0.4,0.21875,0.040152963671128104
aflsmart-nonstack,jaccard,2,0.17603880651656598,0.22970841300191203,0.022944550669216062,0.018214147391672028,0.009682796489679854,0.008531350901992172,0.3,0.5,0.00800853476285511,0.009113704956325333,-0.0011051701934702233,0.3,0.5,0.22091300191204588,0.027151051625239005
aflsmart-nonstack,ochiai,2,0.19317224967966318,0.239651051625239,0.0130019120458891,0.018214147391672028,0.009682796489679854,0.008531350901992172,0.3,0.5,0.00800853476285511,0.009113704956325333,-0.0011051701934702233,0.3,0.5,0.22091300191204588,0.027151051625239005
