mode,metric,n,mean,median,min,max,stdev
aflsmart-nonstack,jaccard_tie_size,5,482,482,482,482,0.0
aflsmart-nonstack,jaccard_baseline_tied_above,5,24,28,0,38,14.352700094407323
aflsmart-nonstack,jaccard_baseline_tied_below,5,18,14,4,42,14.352700094407323
aflsmart-nonstack,ochiai_best_rank,5,60.4,62,42,78,15.323185047502363
aflsmart-nonstack,ochiai_average_rank,5,300.9,302.5,282.5,318.5,15.323185047502363
aflsmart-nonstack,ochiai_worst_rank,5,541.4,543,523,559,15.323185047502363
aflsmart-nonstack,ochiai_exam_percentage,5,8.172189027702336,8.215643671917435,7.67246061922868,8.65019011406844,0.41616472155085155
aflsmart-nonstack,ochiai_tie_size,5,482,482,482,482,0.0
aflsmart-nonstack,ochiai_baseline_tied_above,5,13.6,14,0,30,13.66747965061591
aflsmart-nonstack,ochiai_baseline_tied_below,5,28.4,28,12,42,13.66747965061591
